Código Cuenta;Tipo de Cuenta;Descripción;Atributo Bancario;Atributo Auxiliar;Atributo Honorarios;Requiere Centro de Costo;Requiere Sucursal
2904-01;SUBCUENTA;RESP. LETRAS DESCONTADAS;NO;NO;NO;NO;NO
2905;MAYOR;RESP.DOCUMENTOS EN GARANTIA;NO;NO;NO;NO;NO
2905-01;SUBCUENTA;RESP.DOCUMENTOS EN GARANTIA;NO;NO;NO;NO;NO
2906;MAYOR;ACCIONES CAPITAL SUSCRITO;NO;NO;NO;NO;NO
2906-01;SUBCUENTA;ACCIONES CAPITAL SUSCRITO;NO;NO;NO;NO;NO
4;GRUPO;RESULTADOS/PERDIDAS;NO;NO;NO;NO;NO
41;SUBGRUPO;COSTO DE EXPLOTACION;NO;NO;NO;NO;NO
4101;MAYOR;COSTOS DE EXPLOTACION;NO;NO;NO;NO;NO
4101-01;SUBCUENTA;COSTO DE VENTA;NO;NO;NO;NO;NO
4101-02;SUBCUENTA;COSTO M PRIMAS Y MATERIALES;NO;NO;NO;NO;NO
4101-03;SUBCUENTA;COMBUSTIBLES Y LUBRICANTES;NO;NO;NO;NO;NO
4101-04;SUBCUENTA;LUZ Y FUERZA;NO;NO;NO;NO;NO
4101-05;SUBCUENTA;ETIQUETAS Y ENVASES;NO;NO;NO;NO;NO
4101-08;SUBCUENTA;FLETES Y GASTOS DESPACHO;NO;NO;NO;NO;NO
4101-09;SUBCUENTA;OTROS GASTOS DE EXPLOTACION;NO;NO;NO;NO;NO
4101-10;SUBCUENTA;MANTENCION MAQUINARIAS;NO;NO;NO;NO;NO
4101-12;SUBCUENTA;SEGUROS;NO;NO;NO;NO;NO
4101-15;SUBCUENTA;GASTOS BODEGA;NO;NO;NO;NO;NO
4101-16;SUBCUENTA;GASTOS FABRICA;NO;NO;NO;NO;NO
4101-17;SUBCUENTA;GASTOS LABORATORIO;NO;NO;NO;NO;NO
4101-18;SUBCUENTA;GASTOS COMERCIO EXTERIOR;NO;NO;NO;NO;NO
4101-22;SUBCUENTA;MERMAS Y EXCEDENTES;NO;NO;NO;NO;NO
42;SUBGRUPO;GASTOS DE ADMINISTRACION;NO;NO;NO;NO;NO
4201;MAYOR;GASTOS DE ADMINISTRACION;NO;NO;NO;NO;NO
4201-01;SUBCUENTA;REMUNERACIONES TRABAJADORES;NO;NO;NO;NO;NO
4201-02;SUBCUENTA;HONORARIOS PROFESIONALES;NO;NO;NO;NO;NO
4201-03;SUBCUENTA;LEYES SOCIALES;NO;NO;NO;NO;NO
4201-04;SUBCUENTA;GASTOS DE OFICINA;NO;NO;NO;NO;NO
4201-05;SUBCUENTA;IMPUESTOS Y PATENTES;NO;NO;NO;NO;NO
4201-06;SUBCUENTA;MANT VEHICULOS Y EQ TRANSP;NO;NO;NO;NO;NO
4201-07;SUBCUENTA;MANTENC. EQUIP. Y EDIFICIOS;NO;NO;NO;NO;NO
4201-08;SUBCUENTA;GASTOS GENERALES;NO;NO;NO;SI;NO
4201-09;SUBCUENTA;REPRESENTACION Y VIATICOS;NO;NO;NO;NO;NO
4201-10;SUBCUENTA;GASTOS BANCARIOS;NO;NO;NO;NO;NO
4201-11;SUBCUENTA;INTERESES Y MULTAS;NO;NO;NO;NO;NO
4201-12;SUBCUENTA;LEGALES Y NOTARIALES;NO;NO;NO;NO;NO
4201-13;SUBCUENTA;BIENESTAR SOCIAL;NO;NO;NO;NO;NO
4201-14;SUBCUENTA;GRATIFICACIONES;NO;NO;NO;NO;NO
4201-15;SUBCUENTA;INDEMNIZACIONES;NO;NO;NO;NO;NO
4201-16;SUBCUENTA;ARRIENDO MAQUINAS Y EQUIPOS;NO;NO;NO;NO;NO
4201-17;SUBCUENTA;GASTOS PROPUESTAS;NO;NO;NO;NO;NO
4201-18;SUBCUENTA;SEGUROS;NO;NO;NO;NO;NO
4201-19;SUBCUENTA;GASTOS CAPACIT. PERSONAL;NO;NO;NO;NO;NO
4201-23;SUBCUENTA;SALA CUNA;NO;NO;NO;NO;NO
4201-25;SUBCUENTA;LUZ GAS AGUA ASEO;NO;NO;NO;NO;NO
4201-26;SUBCUENTA;LOCOMOCION Y COLACION;NO;NO;NO;NO;NO
4201-28;SUBCUENTA;SINIESTROS;NO;NO;NO;NO;NO
4201-30;SUBCUENTA;ARRIENDOS Y GASTOS COMUNES;NO;NO;NO;NO;NO
4201-31;SUBCUENTA;TELEFONOS TELEX CORREO;NO;NO;NO;NO;NO
4201-32;SUBCUENTA;SUSCRIPCIONES Y PUBLICACIONES;NO;NO;NO;NO;NO
4201-37;SUBCUENTA;SERVICIOS COMPUTACIONALES;NO;NO;NO;NO;NO
4201-39;SUBCUENTA;GASTOS RECHAZADOS;NO;NO;NO;NO;NO
4201-40;SUBCUENTA;DONACIONES;NO;NO;NO;NO;NO
4204;MAYOR;IVA NO RECUPERABLE;NO;NO;NO;NO;NO
4204-01;SUBCUENTA;FLUCTUACION DE CAMBIOS;NO;NO;NO;NO;NO
4205;MAYOR;GASTOS FINANCIEROS;NO;NO;NO;NO;NO
4205-01;SUBCUENTA;INTERESES Y REAJUSTES;NO;NO;NO;NO;NO
4205-02;SUBCUENTA;INTS PRORROGA PROVEEDORES;NO;NO;NO;NO;NO
4205-04;SUBCUENTA;REAJUSTES;NO;NO;NO;NO;NO
4291;MAYOR;CASTIGOS Y AMORTIZACIONES;NO;NO;NO;NO;NO
4291-01;SUBCUENTA;CASTIGOS Y AMORTIZACIONES;NO;NO;NO;NO;NO
4292;MAYOR;CASTIGO DEUDORES MOROSOS;NO;NO;NO;NO;NO
4292-01;SUBCUENTA;CASTIGO DEUDORES MOROSOS;NO;NO;NO;NO;NO
43;SUBGRUPO;GASTOS DE VENTAS;NO;NO;NO;NO;NO
4301;MAYOR;GASTOS DE VENTAS;NO;NO;NO;NO;NO
4301-01;SUBCUENTA;COMISIONES VENDEDORES;NO;NO;NO;NO;NO
4301-02;SUBCUENTA;GASTOS COBRANZA;NO;NO;NO;NO;NO
4301-03;SUBCUENTA;PUBLICIDAD;NO;NO;NO;NO;NO
4301-05;SUBCUENTA;OTROS GASTOS VENTAS;NO;NO;NO;NO;NO
44;SUBGRUPO;EGRESOS NO OPERACIONALES;NO;NO;NO;NO;NO
4401;MAYOR;EGRESOS NO OPERACIONALES;NO;NO;NO;NO;NO
4401-01;SUBCUENTA;INTERESES PAGADOS;NO;NO;NO;NO;NO
4401-02;SUBCUENTA;REMUNERACIONES DIRECTORES;NO;NO;NO;NO;NO
4401-03;SUBCUENTA;SUELDO EMPRESARIAL;NO;NO;NO;NO;NO
4404;MAYOR;COSTO VTAS ACTIVO FIJO;NO;NO;NO;NO;NO
4404-01;SUBCUENTA;COSTO VTAS ACTIVO FIJO;NO;NO;NO;NO;NO
4405;MAYOR;REAJUSTE CRED. FISCAL;NO;NO;NO;NO;NO
4405-01;SUBCUENTA;REAJUSTE CRED. FISCAL;NO;NO;NO;NO;NO
45;SUBGRUPO;CORRECCION MONETARIA;NO;NO;NO;NO;NO
4501;MAYOR;CORRECCION MONETARIA;NO;NO;NO;NO;NO
4501-01;SUBCUENTA;CAPITAL PROPIO INICIAL;NO;NO;NO;NO;NO
4501-02;SUBCUENTA;AUMENTOS DE CAPITAL;NO;NO;NO;NO;NO
4501-03;SUBCUENTA;DISMINUCIONES DE CAPITAL;NO;NO;NO;NO;NO
4501-04;SUBCUENTA;IMPUESTO PROVISIONAL;NO;NO;NO;NO;NO
4501-05;SUBCUENTA;ACTIVO INMOVILIZADO;NO;NO;NO;NO;NO
4501-06;SUBCUENTA;EXISTENCIAS;NO;NO;NO;NO;NO
4501-07;SUBCUENTA;DEUDA MONEDA EXTRANJERA;NO;NO;NO;NO;NO
4501-08;SUBCUENTA;GASTOS DIFERIDOS;NO;NO;NO;NO;NO
4501-09;SUBCUENTA;DEUDAS REAJUSTABLES;NO;NO;NO;NO;NO
4501-10;SUBCUENTA;ACCIONES;NO;NO;NO;NO;NO
4501-11;SUBCUENTA;GASTOS RECHAZADOS;NO;NO;NO;NO;NO
4501-12;SUBCUENTA;OTROS ACTIVOS;NO;NO;NO;NO;NO
47;SUBGRUPO;IMPUESTO A LA RENTA;NO;NO;NO;NO;NO
4701;MAYOR;PROV.IMPUESTO RENTA;NO;NO;NO;NO;NO
4701-01;SUBCUENTA;IMPTO PRIMERA CATEGORIA;NO;NO;NO;NO;NO
5;GRUPO;RESULTADOS/GANANCIAS;NO;NO;NO;NO;NO
51;SUBGRUPO;INGRESOS DE EXPLOTACION;NO;NO;NO;NO;NO
5101;MAYOR;INGRESOS DE EXPLOTACION;NO;NO;NO;NO;NO
5101-01;SUBCUENTA;VENTAS;NO;NO;NO;NO;NO
5101-02;SUBCUENTA;EXPORTACIONES;NO;NO;NO;NO;NO
5101-03;SUBCUENTA;COMISIONES PERCIBIDAS;NO;NO;NO;NO;NO
52;SUBGRUPO;INGRESOS NO OPERACIONALES;NO;NO;NO;NO;NO
5201;MAYOR;INGRESOS NO OPERACIONALES;NO;NO;NO;NO;NO
5201-01;SUBCUENTA;FLUCTUACION DE CAMBIOS;NO;NO;NO;NO;NO
5201-02;SUBCUENTA;DIVIDENDOS PERCIBIDOS;NO;NO;NO;NO;NO
5201-03;SUBCUENTA;OTRAS ENTRADAS;NO;NO;NO;NO;NO
5201-04;SUBCUENTA;INTERESES GANADOS;NO;NO;NO;NO;NO
5201-05;SUBCUENTA;VENTAS ACTIVO FIJO;NO;NO;NO;NO;NO
5201-07;SUBCUENTA;INDEMNIZ. SEGUROS;NO;NO;NO;NO;NO
5202;MAYOR;REAJUSTE DEV PPM;NO;NO;NO;NO;NO
5202-01;SUBCUENTA;REAJUSTE DEV PPM;NO;NO;NO;NO;NO
5203;MAYOR;REAJUSTE CRED.FISCAL;NO;NO;NO;NO;NO
5203-01;SUBCUENTA;REAJUSTE CRED. FISCAL;NO;NO;NO;NO;NO
55;SUBGRUPO;CORRECION MONETARIA;NO;NO;NO;NO;NO
5501;MAYOR;CORRECCION MONETARIA;NO;NO;NO;NO;NO
5501-01;SUBCUENTA;REAJUSTE C PROPIO INICIAL;NO;NO;NO;NO;NO
5501-02;SUBCUENTA;REAJUSTE AUMENTOS CAPITAL;NO;NO;NO;NO;NO
5501-03;SUBCUENTA;REAJUSTE DISMINUC CAPITAL;NO;NO;NO;NO;NO
5501-04;SUBCUENTA;REAJUSTE IMPTO PROVISIONAL;NO;NO;NO;NO;NO
5501-05;SUBCUENTA;REAJUSTE ACTIVO FIJO;NO;NO;NO;NO;NO
5501-06;SUBCUENTA;REAJUSTE EXISTENCIAS;NO;NO;NO;NO;NO
5501-07;SUBCUENTA;REAJUSTE DEUDAS M/EXTRANJERA;NO;NO;NO;NO;NO
5501-08;SUBCUENTA;REAJUSTE GASTOS DIFERIDOS;NO;NO;NO;NO;NO
5501-09;SUBCUENTA;REAJUSTE DEUDAS REAJUSTABLES;NO;NO;NO;NO;NO
5501-10;SUBCUENTA;REAJUSTE ACCIONES;NO;NO;NO;NO;NO
5501-11;SUBCUENTA;REAJUSTE GASTOS RECHAZADOS;NO;NO;NO;NO;NO
5501-12;SUBCUENTA;REAJUSTE OTROS ACTIVOS;NO;NO;NO;NO;NO
